Customer ID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract,Total Spend,Last Interaction,Churn
1,25,Female,24,22,3,0,Standard,Annual,3665,23,0
2,64,Male,32,10,1,26,Basic,Annual,1854,20,1
3,59,Male,13,29,9,1,Basic,Annual,4942,17,1
4,45,Male,60,29,3,3,Premium,Quarterly,3299,20,0
5,43,Male,4,25,2,2,Standard,Quarterly,788,12,0
6,57,Male,48,10,3,7,Standard,Monthly,3043,25,0
7,29,Female,49,21,8,1,Basic,Monthly,4984,14,0
8,57,Female,4,22,9,27,Standard,Annual,342,14,1
9,32,Male,1,22,1,30,Standard,Monthly,864,18,1
10,38,Male,15,15,1,1,Basic,Monthly,2361,20,1
11,41,Male,14,24,5,6,Basic,Quarterly,4333,14,0
12,27,Male,32,24,1,0,Premium,Monthly,1731,21,1
13,20,Male,25,29,8,16,Standard,Quarterly,1106,25,1
14,49,Male,49,7,8,15,Basic,Monthly,1154,13,1
15,19,Female,8,3,8,25,Standard,Monthly,185,21,0
16,49,Male,38,22,3,1,Premium,Monthly,2389,27,1
17,18,Female,30,13,9,29,Standard,Monthly,3126,1,1
18,40,Female,40,24,8,27,Standard,Quarterly,4324,6,1
19,60,Male,6,24,7,17,Basic,Annual,822,2,0
20,58,Male,27,24,1,11,Basic,Quarterly,3058,19,0
21,50,Male,31,29,2,4,Basic,Quarterly,1793,8,0
22,45,Male,42,22,2,19,Standard,Quarterly,1275,16,1
23,48,Female,23,24,4,23,Standard,Annual,3727,24,1
24,34,Male,56,6,4,16,Standard,Monthly,4236,14,1
25,40,Female,59,27,3,16,Basic,Quarterly,4841,20,1
26,23,Female,42,26,1,21,Basic,Monthly,2037,14,1
27,51,Female,31,1,8,2,Standard,Annual,1751,17,0
28,52,Male,14,17,10,3,Basic,Quarterly,3062,3,1
29,53,Male,33,19,1,22,Standard,Annual,4067,5,0
30,65,Male,48,14,4,4,Basic,Monthly,1206,12,1
31,49,Female,37,25,6,6,Premium,Quarterly,1435,20,1
32,42,Male,48,27,4,29,Standard,Annual,4300,4,1
33,63,Male,33,18,7,17,Premium,Quarterly,4490,1,1
34,24,Female,11,18,3,3,Standard,Monthly,413,24,1
35,28,Female,40,9,6,2,Standard,Monthly,2348,17,1
36,31,Male,49,1,7,23,Premium,Quarterly,4650,7,1
37,43,Female,38,10,6,13,Standard,Annual,4361,26,1
38,37,Male,41,15,5,24,Premium,Annual,1126,21,1
39,18,Male,43,19,9,19,Premium,Annual,3146,18,0
40,56,Female,24,14,1,20,Standard,Annual,2236,9,1
41,22,Female,43,24,2,7,Premium,Monthly,1884,29,1
42,45,Male,35,7,0,21,Standard,Monthly,3102,13,0
43,22,Male,52,5,5,10,Standard,Annual,4926,11,1
44,28,Male,41,7,9,12,Premium,Monthly,4306,12,1
45,34,Male,43,30,10,5,Premium,Monthly,1416,21,1
46,42,Male,41,14,5,28,Premium,Quarterly,1337,4,1
47,36,Female,60,6,6,2,Standard,Quarterly,4712,28,0
48,48,Female,53,2,0,5,Basic,Monthly,1904,27,1
49,48,Male,18,13,9,30,Premium,Quarterly,2379,17,0
50,60,Male,6,4,9,26,Premium,Quarterly,627,7,1
51,54,Male,29,24,3,3,Premium,Annual,4929,8,0
52,27,Female,17,25,4,15,Premium,Quarterly,4469,23,0
53,37,Male,2,28,0,27,Standard,Annual,632,9,1
54,41,Male,31,26,5,27,Basic,Monthly,4044,3,1
55,42,Male,18,15,0,22,Standard,Monthly,4235,9,1
56,34,Male,23,3,7,8,Premium,Quarterly,1188,6,1
57,29,Male,34,25,1,4,Premium,Monthly,2539,4,1
58,27,Female,41,25,2,9,Premium,Monthly,3252,17,1
59,39,Male,50,12,2,28,Premium,Monthly,3424,25,0
60,60,Female,4,30,3,1,Basic,Monthly,552,23,1
61,33,Female,3,30,5,17,Premium,Quarterly,555,9,1
62,57,Male,14,2,8,5,Standard,Monthly,2258,21,1
63,18,Male,48,7,4,23,Premium,Quarterly,2937,22,1
64,63,Male,37,29,9,4,Standard,Monthly,3733,6,1
65,18,Male,59,24,6,6,Basic,Quarterly,1805,5,1
66,36,Male,2,28,6,26,Basic,Quarterly,570,20,1
67,41,Female,26,25,1,19,Premium,Monthly,2236,9,1
68,31,Male,32,26,6,0,Standard,Quarterly,3718,12,0
